	Name	Categories	Extrainfo
Ken	Sugimori	Illustration, Game Art, Pokemon, Japan	
Graham	Sutherland	Painting, Oil, Gouache, Expressionism, UK	
Arthur	Suydam	Illustration, Comic, Marvel, USA	
Raymond	Swanland	Illustration, Concept Art, Sci-Fi, Fantasy, Game Art, MTG, USA	
Peter de	Sève	Illustration, Animation, Cover Art, USA	
Hiroyuki-Mitsume	Takahashi	Illustration, Comic, Japan	
Kazuya	Takahashi	Illustration, Game Art, Japan	
Rumiko	Takahashi	Illustration, Manga, Japan	
Rufino	Tamayo	Painting, Oil, Cubism, Surrealism, Abstract, Mexico	
Shaun	Tan	Illustration, Painting, Ink, Oil, Australia	
Henry Ossawa	Tanner	Painting, Oil, Portrait, USA, 19th Century	
Genndy	Tartakovsky	Illustration, Animation, Character Design, TV, Russia, USA	Highres. Fix, DPM2++ Karas
Ben	Templesmith	Illustration, Comic, Australia	
Sachin	Teng	Illustration, Comic, Poster, Cover Art, USA	
Gustaf	Tenggren	Illustration, Disney, USA	
Saul	Tepper	Illustration, Painting, Oil, Portrait, USA	
Katsuya	Terada	Illustration, Japan	
Howard	Terpning	Illustration, Painting, Oil, Portrait, Landscape, Realism, USA	
Osamu	Tezuka	Illustration, Manga, Japan	512px + Highres. Fix, DPM++ SDE Karras
Abbott Handerson	Thayer	Painting, Oil, Portrait, USA, 19th Century	
Karel	Thole	Illustration, Painting, Netherlands	
Mickalene	Thomas	Painting, Acrylic, Photography, Collage, USA	
Craig	Thompson	Comic, Graphic Novel, Ink, B&W, USA	512px + Highres. Fix
Tom	Thomson	Painting, Oil, Landscape, Canada, 19th Century	
Giovanni	Tiepolo	Painting, Oil, 18th Century	
Alex	Timmermans	Photography, Netherlands	
	Titian (Tiziano Vecelli)	Painting, Oil, Portrait, Mythology, Italy, 16th Century	
Adrian	Tomine	Illustration, Comic, Cover Art, USA	
Ori	Toor	Illustration, Israel	
Akira	Toriyama	Illustration, Manga, Anime, DragonBall, Japan	512px + Highres. Fix, DPM++ SDE Karras
Alex	Toth	Comic, DC Comics, B&W, USA	
Henri de	Toulouse-Lautrec	Illustration, Painting, France, 19th Century	
Ross (RossDraws)	Tran	Illustration, Character Design, Concept Art, Portrait, USA	
William	Turner	Painting, Oil, Watercolor, Landscape, Romanticism, UK, 19th Century	
Chris	Turnham	Illustration, USA	
David	Tutwiler	Painting, Oil, Watercolor, Landscape, USA	
Tadahiro	Uesugi	Illustration, Japan	
Euan	Uglow	Painting, Oil, Still Life, Portrait, UK	
Daniela	Uhlig	Illustration, Character Design, Game Art, Germany	
Halil	Ural	Illustration, Concept Art, Game Art, Turkey	
Jan	Urschel	Illustration, Concept Art, Sci-Fi, Game Art, Germany	
Boris	Vallejo	Illustration, Painting, Cover Art, Poster, Pin-Ups, Fantasy, Peru, USA	768px + Highres. Fix, DPM++ SDE Karras
Vincent Willem	Van Gogh	Painting, Oil, Pointillism, Netherlands, 19th Century	when used alone, tends to be a bit inflexible (starry night clouds, his face structure in portraits)
Alberto	Vargas	Illustration, Pin-Ups, USA	
Victor	Vasarely	Illustration, Painting, Op-Art, Geometry, Pattern, Hungary, France	had to use [from:to:when] for H.C.
Brian K.	Vaughan	Comic, Graphic Novel, DC Comics, Marvel, USA	
Diego	Velázquez	Painting, Oil, Portrait, Baroque, Spain, 17th Century	sometimes guitars
Vasily	Vereshchagin	Painting, Oil, Realism, Orientalism, Russia, 19th Century	512px + Highres. Fix
Jan	Vermeer	Painting, Oil, Portrait, Baroque, Netherlands, 17th Century	
Andrea del	Verrocchio	Painting, Oil, Italy, 15th Century	
Andreas	Vesalius	Author, Illustration, Anatomy, Engraving, Woodcut, Belgium, 16th Century	
Charles	Vess	Comic, Fantasy, USA	512px + Highres. Fix
Élisabeth	Vigée-Lebrun	Painting, Oil, Portrait, Rococo, France, 18th Century	difficult to prompt men
Louis	Wain	Illustration, Painting, Ink, Watercolor, Gouache, Cat, UK, 19th Century	
Camille	Walala	Illustration, Painting, Visual Arts, Pattern, France	
Alfons	Walde	Painting, Oil, Landscape, Austria	
Alfred	Wallis	Painting, Landscape, UK	
Lynd	Ward	Author, Illustration, Children's Book, Graphic Novel, Woodcut, Engraving, USA	
Andy	Warhol	Painting, Pop-Art, USA	
John William	Waterhouse	Painting, Oil, Portrait, UK, 19th Century	
Jean-Antoine	Watteau	Painting, Oil, Portrait, Rococo, France, 18th Century	
George Frederic	Watts	Painting, Oil, Symbolism, UK, 19th Century	
Joe	Webb	Collage, Print, UK	
Edwin Lord	Weeks	Illustration, Painting, Orientalism, USA	
Johan Hendrik	Weissenbruch	Painting, Oil, Watercolor, Landscape, Netherlands, 19th Century	
Casey	Weldon	Painting, Acrylic, Surrealism, USA	
Catrin	Welz-Stein	Illustration, Graphic Design, Surrealism, Germany	
Tom (Strongstuff)	Whalen	Illustration, USA	
Michael	Whelan	Illustration, Fantasy, Sci-Fi, USA	512px + Highres. Fix
Jon	Whitcomb	Illustration, Painting, Oil, Gouache, Poster, USA	
Coby	Whitmore	Illustration, Painting, Cover Art, USA	
Peter	Wileman	Painting, Oil, Landscape, Abstract, UK	
Kehinde	Wiley	Painting, Oil, Portrait, USA	
Edward Blair	Wilkins	Illustration, Painting, Sci-Fi, Cover Art	
Al	Williamson	Comic, USA	
Carel	Willink	Painting, Oil, Portrait, Cityscape, Architecture, Realism, Netherlands	start with 768px
Barry	Windsor-Smith	Comic, DC Comics, Marvel, B&W, UK	
Franz Xaver	Winterhalter	Painting, Oil, Portrait, Germany, 19th Century	
Nathan	Wirth	Photography, Landscape, B&W, USA	
	Wlop	Illustration, China	
Brandon	Woelfel	Photography, Portrait, USA	
Liam	Wong	Photography, Game Art, Scotland, UK	
Ashley	Wood	Illustration, Comic, Painting, Ink, Australia	
Grant	Wood	Painting, Oil, Tempera, Portrait, USA	
Zao	Wou-Ki	Painting, Ink, Aquatint, China	
Bernie	Wrightson	Comic, DC Comics, Marvel, B&W, USA	
Andrew	Wyeth	Painting, Oil, Watercolor, Gouache, Portrait, Landscape, Realism, USA	
Zhelong	Xu	Illustration, 3D, China	
Hannah	Yata	Painting, Oil, Psychedelic Art, Surrealism, USA	
Liu	Ye	Painting, China	
Bunny	Yeager	Photography, Portrait, Pin-Ups, Nudity, USA	lots of boobs and nudity, even with the keywords in the NP
Jacek	Yerka	Illustration, Painting, Surrealism, Poland	
Tadanori	Yokoo	Illustration, Graphic Design, Poster, Japan	
Sean (HULA)	Yoro	Painting, Street Art, Portrait, USA	
Akihiko	Yoshida	Illustration, Character Design, Game Art, Japan	
Hiroshi	Yoshida	Painting, Landscape, Japan	
Skottie	Young	Illustration, Comic, Children's Book, Marvel, USA	
Darek	Zabrocki	Illustration, Concept Art, Fantasy, Sci-Fi, Poland	
Ossip	Zadkine	Painting, Oil, Cubism, Belarus	
Eytan	Zana	Illustration, Concept Art, Game Art, USA	
Eric	Zener	Painting, Oil, Portrait, Realism, USA	not easy to prompt, needed 'sunglasses' and 't-shirt' in NP
Fenghua	Zhong	Illustration, China	
William	Zorach	Painting, Oil, Watercolor, Portrait, Sculpture, Cubism, Lithuania, USA	
Anders	Zorn	Painting, Watercolor, Portrait, Sweden, 19th Century	
Ignacio	Zuloaga	Painting, Oil, Portrait, Spain	
